id,title,author,day,genre,story,score,platform
0,참교육,채용택 / 한가람,월,"스토리, 액션",무너진 교권을 지키기 위해 교권보호국 소속 나화진의 참교육이 시작된다! 부활남 채용택 작가 신석기녀 한가람 작가의 신작!,9.776,네이버 웹툰
1,신의 탑,SIU,월,"스토리, 판타지",자신의 모든 것이었던 소녀를 쫓아 탑에 들어온 소년 그리고 그런 소년을 시험하는 탑,9.499,네이버 웹툰
2,뷰티풀 군바리,설이 / 윤성원,월,"스토리, 드라마",여자도 군대에 간다면? 본격 여자도 군대 가는 만화!,9.66,네이버 웹툰
3,윈드브레이커,조용석,월,"스토리, 스포츠",혼자서 자전거를 즐겨타던 모범생 조자현. 원치 않게 자전거 크루의 일에 자꾸 휘말리게 되는데... 자유를 꿈꾸는 청춘들의 스트릿라이딩 드라마!,8.795,네이버 웹툰
4,팔이피플,매미 / 희세,월,"스토리, 드라마","마스크걸 , 위대한 방옥숙 매미 희세 작가의 신작! 에서 육아용품 파는 평범한 유부녀 박주연, 그녀의 고등학교 동창인 김예희는 팔로워 70만의 셀럽으로 엄청난 부와 명성을 누리는 중이다. 박주연은 김예희를 미워하는 동시에 집착하고 있는데, 과연 그녀는 김예희의 과거를 폭로하고 셀럽으로 올라설 수 있을까?",9.88,네이버 웹툰
5,소녀의 세계,모랑지,월,"스토리, 드라마",완벽해 보이지만 사실 외로웠던 백조들과 맘씨 착한 오리가 만나 여러 갈등을 함께 겪으며 진짜 친구가 되어가는 소녀들의 찐 우정물,9.951,네이버 웹툰
6,장씨세가 호위무사,조형근 / 김인호,월,"스토리, 액션",당신이 부른 것이오. 나란 사람을... 은둔고수 광휘. 호위무사 되다. 웹소설 원작 웰메이드 무협 시대극!,9.892,네이버 웹툰
7,백수세끼,치즈,월,"스토리, 드라마",백수 시절 내 곁을 지켜줬던 그녀... 돌아와 주면 안 되겠니? 음식 메뉴마다 담겨 있는 우리들의 연애 흑역사!,9.767,네이버 웹툰
8,파이게임,배진수,월,"스토리, 스릴러","시간이 흐르면 돈이 쌓인다. 피가 흐르면 시간이 쌓인다. 과연 최후에 남을 상금과 승자는 누가 될 것인가? 짜릿한 현실감과 팽팽한 긴장감, 사회에 대한 냉철한 주제의식까지 돋보이는 머니게임 의 후속편!",8.26,네이버 웹툰
9,앵무살수,김성진,월,"스토리, 판타지",평범한 뱃사공으로 살고 있는 노소하. 하지만 그의 정체는 전설적인 구파검법의 후계자다. 이제 진시황이 남긴 비서 선근경을 향한 살수행이 시작된다.,9.973,네이버 웹툰
10,삼매경,이원식 / 꿀찬,월,"스토리, 액션",학력도 재력도 변변찮은 그에게 초능력이 생겼다. 하지만 남들만큼만 사는 게 꿈이었던 그가 더는 남들처럼은 살 수 없게 돼버리는데...,8.798,네이버 웹툰
11,만렙돌파,"성불예정,홍실 / 미노",월,"스토리, 판타지","알 수 없는 오류로 3000년간 각성 테스트에 갇힌 김기봉. 그 사이 현실에선 10년이 흘렀고, 온 세상은 몬스터와 던전으로 가득차게 되었다. 만렙으로 귀환한 김기봉의 모든 것을 원래대로 돌려놓기 위한 싸움이 시작된다!",9.795,네이버 웹툰
12,잔불의 기사,환댕,월,"스토리, 판타지","유일한 가족이자, 최고의 기사 유망주였던 쌍둥이 동생이 살해당했다. 천재적이었던 동생과는 달리 무예에 재능이 전혀 없지만, 동생의 복수를 위해 강함 을 연기하기로 결심했다. 약해빠진 나는 복수에 성공할 수 있을까.",9.931,네이버 웹툰
13,요리GO,HO9,월,"스토리, 드라마",요리고등학교 졸업 후 산에서 수련을 마친 한별. 특급 호텔 레스토랑에 인턴으로 취업하게 되지만 엄하기로 소문난 호텔 주방에서 다양한 사건들에 휘말리게 되는데... 과연 요리천재 한별은 이 어려움을 어떻게 헤쳐나갈 수 있을까?,9.962,네이버 웹툰
14,유일무이 로맨스,두부,월,"스토리, 로맨스",평범한 취준생 공유일의 일상에 인기절정 탑배우 탁무이와 아이돌 류민이 침범해오기 시작했다! 사심가득 탑스타,9.96,네이버 웹툰
15,더블클릭,"김장훈,박수봉 / 박수봉",월,"스토리, 액션",악명 높은 난이도를 가진 게임의 세계 랭킹 1위였던 지호. 서비스 종료된 줄만 알았던 그 게임이 새롭게 돌아왔다! 지호는 다시 한번 랭킹 1위를 꿈꾸며 게임 동아리에 입부한다. 오랜만에 게임을 해도 살아있는 감각. 하지만 게임이 새롭게 변하면서 예상치 못한 약점이 생긴다. 강한 상대를 마주할수록 열정이 끓어오르는 주인공의 프로게이머 도전기!,9.905,네이버 웹툰
16,약초마을 연쇄살초사건,박지독,월,"스토리, 스릴러",평화롭던 약초마을에 연쇄 약초 살해 사건이 벌어진다. 살해당한 약초들의 공통점은 모두 뿌리가 잘려있다는 것. 이 수상한 사건의 범인은 약초일까? 아니면 소문대로 귀신의 소행일까? 이 사건을 취재하던 마기자에게 의문의 편지 한 통이 도착하는데...,9.77,네이버 웹툰
17,칼가는 소녀,오리,월,"에피소드, 드라마",치사율 100 의 인싸 희귀병 소녀 사랑 누구보다 차분하고 두려움 없는 같은 반 소녀 은조 두 소녀가 가슴 속 칼을 품고 세상을 향한 복수를 꿈꾼다. 네이버웹툰 최강자전 18년 대표작.,9.973,네이버 웹툰
18,히어로메이커,빤쓰,월,"옴니버스, 판타지",왕은 영웅이 되고 싶어하는 공주의 소원을 들어주기로 전격 결심! 공주를 속이고 마치 영웅이 된 것처럼 만들기 위해 온 나라가 연극을 하게 되는데..파란만장한 그들만의 눈물겨운 영웅만들기의 대장정이 펼쳐집니다,9.948,네이버 웹툰
19,꼬리잡기,바쉬,월,"스토리, 스릴러","건물붕괴 사고로 매몰된 9명의 대학생. 2주 뒤, 3명은 사망하고 1명은 의식불명인 상태로 발견된다. 가까스로 구조된 생존자 5명은 그곳에서 있었던 일을 숨기려 하는데... 생존자인 척 숨어있던 살인자에 대한 정황이 드러나기 시작한다. 수사팀은 이 밀실살인 사건의 처음과 끝을 파헤치게 된다.",9.937,네이버 웹툰
20,결혼생활 그림일기,은꼼지,월,"옴니버스, 일상",조용할 날 없는 우당탕탕 두 짐승의 결혼생활 이야기!,9.979,네이버 웹툰
21,물어보는 사이,성은,월,"스토리, 로맨스","뱀파이어에게 물리면 건강해진다?! 두통으로 의도치 않게 비호감 연예인이 된 이채이. 우연히 톱스타인 서이준이 뱀파이어이고, 그에게 물리면 한동안 건강해진다는 걸 알게 된다. 물어달라 부탁하는 채이에게 이준은 계약 연애를 제안하는데...",9.959,네이버 웹툰
22,오늘의 순정망화,손하기,"월, 화, 목","에피소드, 개그",그마고 초엘리트집단 삼국시대 앞에 나타난 전학생 가야! 가야의 마음을 얻는 건 누구?,9.981,네이버 웹툰
23,영앤리치가 아니야!,최삡뺩,월,"스토리, 개그","공대생 너무만화 최삡ㅤㅃㅑㅂ 작가의 개그로맨스 신작! 모든 게 완벽한 퍼렁식품 의 아들 서민준. 어른들과 친구들에게는 인기 폭발이지만, 여자친구를 사귀어 본 적 없는 모태솔로다. 민준은 같은 학교 여학생 새영에게 반하게 되는데, 새영의 이상형은 흙수저이지만 노력하는 사람이고, 자기보다 잘난 남자를 매우 싫어한다고? 사랑을 얻기 위해 영앤리치를 숨겨야하는 민준이의 첫 연애 도전기!",9.94,네이버 웹툰
24,리턴 투 플레이어,"인덱스,엄키 / 세혼",월,"스토리, 판타지","어느 날, 게임이 되어버린 세상. 갑자기 나타난 몬스터들이 사람들을 죽이고, 사람들은 플레이어가 되어 퀘스트를 달성해야 한다! 인류의 종말에서 회귀한 2회차 플레이어, 김세한. 그는 과연 세상을 이렇게 만든 시스템 을 쳐부술 수 있을까!",9.953,네이버 웹툰
25,바퀴,나우원 / 오른손,월,"스토리, 스릴러","내 몸이 변하는 순간, 온 세상 사람들의 표적이 되었다. 신체가 점점 바퀴화 되어가는 한 남자의 생존 액션 스릴러",9.75,네이버 웹툰
26,"아, 쫌 참으세요 영주님!",daybook / 새우초밥,월,"스토리, 로맨스","작고 가난한 영지 화이트 의 영주, 로즈. 영주민들과 오순도순 잘 먹고 잘살고 싶었는데, 갑자기 이종족 이주민이 늘고 자꾸 사건에 휘말린다?! 막강 능력 영주님 로즈 와 그녀를 영지에 몰래몰래 숨겨 놓고 보호하고픈 스승, 대마법사 이그드라실 의 유쾌 발랄 로맨스 판타지!",9.962,네이버 웹툰
27,평범한 8반,영파카,월,"스토리, 드라마",안 평범한 아이들이 모인 평범한 8반 고품격 웰메이드 병맛을 느껴보세요,9.883,네이버 웹툰
28,수영만화일기,해오,"월, 목","에피소드, 일상","백수 겸 만화가지망생 해오, 저질체력에서 벗어나기 위해 수영에 도전! 작심삼일이리라는 예상과는 다르게 어느새 수영에 익숙해진다. 이게 대체 어떻게 된 일이야? 나 수영을 사랑하게 된 걸까? 그렇게 수영을 익혀가면서 점차 몸도 마음도 성장해나가는데 . 불확실한 미래를 안고 살아가지만, 해오는 오늘도 수영한다.",9.924,네이버 웹툰
29,아는 여자애,허니비,월,"스토리, 로맨스","어느날 갑자기 고등학생으로 돌아온 하영. 다시 한 번 기회가 주어진다면 첫사랑을 이룰 수 있을까? 내게는 운명, 그애에겐 아는 여자애",9.956,네이버 웹툰
30,장난감,배사과,월,"스토리, 드라마","매일같이 술에 절어 사는 주인공 김상재 는 일용직 노동자로 자신의 꼬인 인생에 불만이 많다. 그리고 세상에 대한 분풀이를 자신의 아이를 학대하는 방식으로 풀어낸다. 그런 그가 우연한 사건으로 부잣집 아들 박해오 라는 꼬마와 몸이 바뀌게 되고, 지금까지와는 정반대의 인생을 살아갈 꿈에 부푼다. 하지만 해오의 집에는 또 다른 비밀이 숨겨져 있다.",9.815,네이버 웹툰
31,황제와의 하룻밤,"예영, 차승현(車昇炫) / INUS",월,"스토리, 로맨스","술김에 하룻밤을 보낸 남자의 정체가... 무려 황제라고? 겉은 아름다운 남작 영애, 속은 풍파에 쩌든 욕쟁이 할머니 페넬로페 . 염병, 남자가 거기서 다 거기지. 그런 그녀에게 열렬히 구애하는 직진순정파 황제 바트 ! 나는 네가 필요해. 직진 황제와 독특한 영애의 본격 발랄 로맨스 판타지!",9.953,네이버 웹툰
32,꿈의 기업,문지현,월,"스토리, 스릴러",문명을 지배하는 거대기업과 거대기업을 움직이는 인공지능. 그 인공지능이 꿈을 꾸기 시작했다.,9.959,네이버 웹툰
33,순정말고 순종,슈안,월,"스토리, 로맨스",하루에 무려 쓰리잡. 스물 다섯 지언의 일과 끝에 남는 건 갑질에 시달린 스트레스와 돼지우리같은 집구석 뿐이다. 그러다 어느날 얻게 된 인형 한 개. 이것만 있으면 대한민국의 탑 배우 남도윤을 가정부로 부려먹을 수있다...?! 2017 최강자전 대상 수상작 늑대와 빨간모자 슈안 작가의 차기작!,9.983,네이버 웹툰
34,ㅋㄷㅋㄷ만화,기맹기,월,"에피소드, 일상",본 컨텐츠는 질병관리청의 브랜드 웹툰으로 기맹기 작가가 전하는 에이즈 예방 캠페인입니다.,9.816,네이버 웹툰
35,하루의 하루,김이랑,월,"스토리, 드라마","오하루는 다른 사람의 마음을 읽을 수 있는 초능력자다. 얼마 전, 저주 받은 능력 때문에 첫사랑도 허무하게 깨져버리고 건조한 일상을 보내고 있던 하루에게 최근 신경쓰이는 사람이 생겼다. 그 사람은 바로, 같은 과 동기인 도하루. 그녀의 마음은 도무지 보이지 않는다. 이건 혹시.. 운명..?",9.965,네이버 웹툰
36,최후의 금빛아이,알깨 / 새몽,월,"스토리, 판타지","언니의 생일날, 이 세계를 지배하는 신에 의해 모든 것을 잃은 소녀 록시. 자신이 신들의 먹이에 불과하다는 충격적인 진실을 알게 된다. 록시는 심장만 있으면 언니를 되살릴 수 있다는 말을 믿고 험난한 여행을 떠난다. 그러나 곧 그녀를 뒤쫓는 자들과 감당할 수 없는 적들이 나타나는데... 록시는 앞을 막아서는 그들을 물리치고 과연 언니를 되살릴 수 있을까?",9.944,네이버 웹툰
37,와이키키 뱀파이어,요니요니,월,"스토리, 드라마",고졸 검정고시를 준비 중인 야식 배달원 뱀파이어 김군. 어느 날 그는 잘못된 주소로 배달을 갔다가 그곳에서 뱀파이어로 추정되는 한 여자와 마주치게 되는데,9.969,네이버 웹툰
38,야생천사 보호구역,루시드,월,"스토리, 로맨스","천사 가브리엘은 악마들의 장난으로 동료천사 라파엘, 우리엘과 함께 인간 세상의 고양이로 변해버린다. 아니 이게 어찌된 일인가! 낯선 인간 세상에서 고양이의 몸이라니! 고양이가 되어버린 꽃미남 천사들과 그들의 집사가 된 소녀 은호의 세상에서 가장 무해한 로맨스! 심장에는 유해함 주의",9.98,네이버 웹툰
39,모스크바의 여명,황장미 / 이샨오,월,"스토리, 드라마","21세의 피아니스트 이시윤. 사고로 인해 피아노를 더 이상 칠 수 없게 된 삶을 비관하다 죽음을 택했지만, 알아들을 수 없는 외국어로 얘기하는 갑부 집안에서 소녀 타티아나 로 눈을 뜬다. 신이 주신 기회인 걸까? 아니면 저주인 걸까? 성별이 바뀐 게 뭐 대수냐! 손만 멀쩡하다면 다시 피아노를 칠 수 있어! 어차피 이렇게 된 거 타티아나 로서 못다 한 꿈을 이뤄보자!",9.94,네이버 웹툰
40,착한건 돈이된다,유성연,월,"스토리, 드라마","인기도 돈도 없는 삼류 스트리머 기찬수. 어느 날, 전 국민적 관심을 받던 대낮 유괴사건 이 해결된다. 이를 해결한 얼굴 없는 의인 은 속 뒷모습만 남긴 채 사라졌고, 사람들의 궁금증은 점점 커져만 가는데... 사람들이 삼류 스트리머 기찬수의 영상 속 모습과 의인의 뒷모습이 유사함을 알게 되면서, 기찬수는 하루아침에 전 국민적 영웅이 된다. 기찬수의 영웅 행세는 과연 어디까지 갈 것인가.",9.611,네이버 웹툰
41,사랑의 헌옷수거함,고잉,월,"스토리, 로맨스","짝사랑은 이제 그만! 고잉고등학교에서 가장 핫한 소문, 헌옷수거함에 돈을 넣고 좋아하는 사람의 이름을 외치면 상대방의 마음을 알려준다는데..! 연애 대신 성적과 돈에만 관심 있는 송아람은 그런 소문에 휘둘리지 않는다. 그런 아람의 일상에 학교 인기남 정진우가 불쑥 들어온다. 어디로 튈지 모르는 이 자식을 어떻게 해야 좋을까?",9.957,네이버 웹툰
42,왕따협상,아이아리,월,"스토리, 드라마",일진의 괴롭힘과 어머니의 집착으로 하루하루 지옥 같은 나날들. 왕따 주민성은 최악의 인생에서 벗어나기 위한 협상을 시작한다.,9.887,네이버 웹툰
43,"선배, 그 립스틱 바르지 마요",까페라떼 / JINHA,월,"스토리, 로맨스","좋아하는 직장선배의 애인이 다른 여자와 결혼한다고? 복수를 제안하며 다가오는 완벽남의 설렘 100 로맨틱 어택! 화장품 회사를 배경으로 잘생김, 섹시함, 진지함을 갖춘 직진남 후배와 연하는 남자로 안 본다는 직선녀 선배 두 사람의 밀당 설렘 로맨스",9.934,네이버 웹툰
44,이중첩자,"피숙혜,하연 / 옆집찰스",월,"스토리, 드라마","전쟁으로 모든 걸 잃은 후 첩자가 된 사샤, 전쟁의 일등공신, 천사의 얼굴을 한 악마 장교 요한에게 발각되는데 ! 적국에 사로잡힌 첩자, 이중첩자가 되다!",9.967,네이버 웹툰
45,원하는 건 너 하나,"달콤J,박성실 / sage",월,"스토리, 로맨스",대기업 경영권을 물려받으려면 5년 전 자신을 떠난 은율과 결혼해 1년 이상 살아야 한다는 할아버지의 유언. 배신의 상처가 아직 크지만 어쩔 수 없이 5살 아이를 홀로 키우고 있는 은율과 어색한 동거를 시작하게 된다.,9.816,네이버 웹툰
46,"또다시, 계약 부부","설우희,제제 / 제제",월,"스토리, 로맨스","서로에게 강한 이끌림을 느꼈던 건하와 서연, 하지만 전혀 다른 삶을 살아왔던 두 남녀는 짧은 결혼 생활을 마치고 결국 이혼을 선택한다. 5년 뒤, 건하는 서연에게 또 한 번 계약 부부 를 제안한다. 나와 다시 부부가 되어줘야겠어. 이번엔 꽤 사이좋은 부부로 말이야.",9.872,네이버 웹툰
47,마지막 지수,에리카 / 채나라,월,"스토리, 로맨스","소설가를 꿈꾸는 주인공 양지수. 어느날부터 지수 라는 이름만 골라사귀기로 소문난 바람둥이 혜성 이 접근해오기 시작한다. 이미 남자친구 도혁 이 있는 지수는 혜성의 접근이 불쾌할 뿐이지만, 한 가지 수상한 점이 자꾸만 호기심을 자극한다. 얘가 어떻게 내 연애사를 낱낱이 알고 있는거지...?",9.963,네이버 웹툰
48,라서드,감람,월,"스토리, 판타지","절대적 권능을 지닌 11인의 왕과, 왕을 수호하기 위한 기사단이 존재하는 세계. 수습기사 힌타는 파트너 캐넛과 함께 정식 기사가 되기 위한 모험을 떠나는데... 정식기사가 되기 위한 소년들의 고군분투 정통판타지액션!",9.962,네이버 웹툰
49,백호랑,박혬,월,"스토리, 판타지",모든 것이 완벽해 보이는 지룡은 비밀스런 동거 중! 사촌동생이자 고양이이자 수호자인 소년은 바로 서쪽의 신수 백호였다! 과거의 죄를 씻기 위해 인간계에서 하늘의 심부름을 수행인 백호랑과 그에게 엮인 지룡의 스펙타클한 일상,9.796,네이버 웹툰
50,중독연구소,김택기,월,"옴니버스, 드라마","중독 가정에서 자라온 소년, 김태림 은 중독 전문병원에 입사를 하게 되면서 자신의 문제를 바라보게 된다. 우리 모두의 중독 이야기, 당신은 무엇에 중독이 되어있나요?",9.834,네이버 웹툰
51,드로잉 레시피,꼬모소이,월,"스토리, 감성",어머니가 돌아가신후 어머니가 주인이었던 석촌 미선빌라 201호로 이사 온 은수의 용서와 성장의 힐링여행,9.963,네이버 웹툰
52,사막에 핀 달,선지,월,"스토리, 시대극","사막의 전사 나디아. 신녀를 찾아 사막에 온 신관 이세리온은 나디아에게 신녀가 되어달라고 말한다. 나디아는 부족을 지키기 위해 신녀가 되기로 결심하지만, 야만인이라고 무시받는 상황에서 나디아는 과연 진짜 신녀가 될 수 있을까? 신녀로 선택받은 나디아와 신관 이세리온의 이야기.",9.826,네이버 웹툰
53,살아간다,이행복,월,"스토리, 액션",하루하루 버겁게 살아가고 있는 주인공 권도이 . 첫사랑 정선영 을 위해 불법도박격투기장 하데스 에 점점 빠져 들게 되고 오래 전 자신의 꿈이었던 종합격투기 선수를 떠올린다. 라스트 서브미션 이행복 작가의 차기작.,8.616,네이버 웹툰
54,이탄국의 자청비,"김보람, 한집 / 나넷",월,"스토리, 로맨스","시공 초월 판타지 로맨스! 태권 소녀 자청비, 물푸레 향이 가득한 이세계 황궁에 떨어지다! 아는 사람 하나 없는 낯선 나라. 왕싸가지 꽃미남 황태자, 생명의 은인인 비운의 왕자, 놀기 좋아하는 말괄량이 공주 사이에서, 자청비는 집으로 돌아갈 수 있을까?",9.922,네이버 웹툰
55,그림자 신부,이새인 / 덥머,월,"스토리, 로맨스","빚 갚을 돈을 벌려다가 끔찍한 위기에 빠진 설윤 앞에 신검 월흔 을 든 핏빛 무사가 나타난다. 절체절명의 위기에서 구해준 건 고맙지만 난데없이 밤시중을 들라는데... 다음 날, 7년 전쟁의 승리를 축하하는 행진 중 왕세자가 든 신검이 낯설지 않다! 어젯밤 그가 왕세자였어?!!",9.931,네이버 웹툰
56,모락모락 왕세자님,원해,월,"스토리, 로맨스",온천마을에 찾아온 꽃미남 왕세자일행과 신비한 힘을 가진 소녀의 판타지 로맨스,9.939,네이버 웹툰
57,바로 보지 않는,지민,월,"스토리, 드라마",몇 번의 연애 끝에 민주는 일찌감치 사랑보다 우정을 택하기로 결심한다. 난 희진이 너만 있으면 아무것도 필요 없어. 너도 그렇지?,9.878,네이버 웹툰
58,개밥 먹는 남자,김태순,월,"스토리, 판타지","출근길에 우연히 받은 아임펫 향수 를 뿌렸다가 댕댕이 뚜치와 몸이 바뀌어버린 어도남. 그런데, 뚜치가 회사에 출근하더니 투자 계약을 따내고, 임원 승진에, 짝사랑하는 여직원과 썸을 타기 시작한다?! 뜻밖의 상황에 엮인 어도남은 오늘도 집에 틀어박혀 개밥을 먹는다. 주인과 반려동물의 몸을 뒤바꾸는 아임펫 향수 때문에 벌어지는 아이러니 코미디! 대박 맞겠지? 2020 지상최대공모전 1기 장려상 수상작!",9.914,네이버 웹툰
59,보살님이 캐리해!,성코 / 콩자,월,"스토리, 액션",억겁의 시간을 넘어 환생한 보살들이여 야차들의 습격에서 평화로운 일상과 법화를 수호하라!,9.89,네이버 웹툰
60,오로지 오로라,홍달,월,"스토리, 판타지","마법 소녀가 불법인 세상, 이 세계의 마법 소녀는 사랑받는 존재가 아니다. 한창 잘 나가던 아이돌 오로라 의 인생에 불순물처럼 끼어든 마법 소녀의 삶. 그리고 그 앞에 나타난 기이한 마법사 소년 심청, 과연 오로라는 마법 소녀를 무사히 마치고 자신의 황금빛 인생을 이어나갈 수 있을까? 2019년 네이버웹툰 최강자전 3위 수상작!",9.933,네이버 웹툰
61,헬로맨스,이공주 / 하얀독수리,월,"스토리, 로맨스","마계 서열, 중급악마 시트리. 상급 악마가 되고 싶었지만 억울한 누명으로 인간계에 떨어졌다. 인간이 된 시트리는 검찰 수사관이 되었지만 이기적이고, 싸가지도 없고, 개념도 없는 직속 검사 계세아를 만나게 된다. 둘은 첫날부터 원수지간이 되는데 악마였던 검찰수사관과 악마같은 검사의 범죄스릴 로맨스가 펼쳐진다!",9.914,네이버 웹툰
62,트리거,고경빈,월,"스토리, 판타지","지구에 소행성이 떨어진 후, 지구는 인간을 먹이로 하는 괴생명체 아니스 에 의해 절멸 위기에 처한다. 청소년 모두가 입대해서 아니스에 맞서야 하는 시대. 1년 전 먼저 입대한 소꿉친구 니카와 어렵게 재회한 에반은 니카가 자신을 전혀 기억하지 못하는데다, 더이상 평범한 인간이 아니라는것을 알게 된다. 충격에 빠진 에반에게 정부에서 준 임무는 니카를 죽이라는 것이다. 그것도 매일, 인류를 위해..",9.876,네이버 웹툰
63,기사님을 지켜줘,달봉,월,"스토리, 판타지","첫눈에 반한 남학생을 떠올리며 언니의 피규어 브릭 에게 뽀뽀 연습을 하는 예은 . 그날 밤, 이상한 꿈에 눈을 떠보니 피규어가 살아 움직이며 자신의 저주를 풀 수 있도록 도와 달라고 한다. 예은은 모종의 이유로 브릭의 부탁을 받아들이고, 저주를 건 마녀에 대한 단서를 찾기 시작한다.",9.873,네이버 웹툰
64,여신강림,야옹이,화,"스토리, 로맨스","네웹 대표 글로벌 인기작! 주경, 수호, 서준. 세 청춘의 두근두근 눈호강 로맨스 메이크업으로 여신이 된 주경이는 꿈과 사랑을 이룰 수 있을까?",8.27,네이버 웹툰
65,용사가 돌아왔다,나락 / 풍백,화,"스토리, 액션","김민수에게 복수를 하겠다는 일념 하나로 이세계를 구한 용사, 박정수. 그는 스스로는 구했지만, 세계를 구하지 못했고, 자신의 세상을 멸망시킨 용사들을 죽이기로 마음 먹는다. 이 이야기는 해피 엔딩 따윈 없는 차가운 현실, 용사들을 죽이는 용사에 대한 이야기이다.",8.156,네이버 웹툰
66,덴큐,백감독,화,"스토리, 판타지",특수능력을 지닌 악당 덴마가 꼬마의 몸에 갇혀 겪는 모험...의 끝나지 않은 이야기.,9.48,네이버 웹툰
67,한림체육관,혜성 / 이석재,화,"에피소드, 액션",세상에서 가장 강한 남자가 되고 싶다. 그릇된 강함을 실천하던 전영하가 한림체육관에 들어와 진정한 강함을 깨닫고 무도인으로 거듭나는 학원 액션물,9.827,네이버 웹툰
68,엽총소년,김칸비 / 홍필,화,"스토리, 스릴러","약자에서 영웅이 될 수밖에 없었던 소년 한규환 , 그리고 그 소년을 영웅으로 만들어줄 엽총 한 자루가 눈앞에 있다. 글로벌 누적 조회수 12억 뷰를 기록한 스위트홈 의 프리퀄 대공개!",9.945,네이버 웹툰
69,하루만 네가 되고 싶어,삼,화,"스토리, 로맨스","완벽한 인생이었다, 그 애가 나타나기 전까지는 반전에 반전을 거듭하는 치밀한 궁중 서스펜스 네이버웹툰 최강자전 19년 대표작.",9.978,네이버 웹툰
70,사신소년,류,화,"스토리, 액션","수명을 대가로 죽은 자의 능력을 빌리는 소년! 화려한 액션에서 부터 스포츠, 두뇌 플레이까지 한계는 없다!",9.945,네이버 웹툰
71,중증외상센터 : 골든 아워,한산이가 / 홍비치라,화,"스토리, 드라마","살 수 있는 환자들이 죽어 가고 있다. 이제 더는 그런 일이 없도록 하겠다. 사명감 있는 또라이. 중증외상센터의 난폭한 천사. 외상외과 전문의 백강혁, 그의 중증외상센터 되살리기 프로젝트.",9.974,네이버 웹툰
72,랜덤채팅의 그녀!,박은혁,화,"스토리, 드라마",랜덤채팅만 하던 준우에게 온 기적! 과연 그녀 들 에게 다가갈수 있을까?! 읽다 보면 원픽 캐릭터 무조건 생김,9.573,네이버 웹툰
73,신도림,오세형,화,"스토리, 액션",세상이 무너지고 세워진 지하도시 신도림 그곳에 들어가지 못하고 생존한 소년들이 지하도시의 비밀을 파헤친다,9.715,네이버 웹툰
74,니나의 마법서랍,랑또,"화, 토","스토리, 스릴러","가담항설 랑또 작가의 컬러풀하지만 어딘지 오싹한 매지컬 스릴러! 니나는 집앞 골목에서 유치뽕짝한 서랍을 줍는다. 그런데 그 안에 소원을 적으세요. 라고 적혀있는 유치한 디자인의 카드가 세 장. 취업하게 해주세요 , 50만원만 주세요 , 멋진 남친이 생기게 해주세요 ! 그리고 그 모든 소원을 이뤄주는 마법서랍으로 빨려들어가는데..?",9.968,네이버 웹툰
75,헬58,장성준,화,"스토리, 액션","약육강식의 섬 헬58에서 벌어지는 권력다툼과 암투, 배신. 주인공 서민은 이 지옥같은 섬에서 과연 희망을 찾고 탈출할 수 있을까?",9.843,네이버 웹툰
76,달콤살벌한 부부,플라비 / 장그린,화,"스토리, 로맨스","학창 시절 내내 앙숙이었던 남자, 10년 만에 나타나 거절키 어려운 조건으로 쇼윈도 부부를 제안하다.",9.981,네이버 웹툰
