id,title,author,day,genre,story,score,platform
77,블랙 위도우,마크 웨이드 / 크리스 샘니,"화, 금","스토리, 액션","페이즈4의 시작, 강렬한 액션을 원작으로! 전직 킬러, . . . . . . 요원, 어벤저스 멤버였던 나타샤 로마노프. 과거에 남긴 발자국이 그녀를 찾아온다. 울보 사자 라 불리는 악당이 텔레파시 능력을 이용해 블랙 위도우를 협박하고, 암살자 양성 기관 레드 룸 잔당은 새로운 학교를 설립해 또 다른 소녀들을 훈련시키고 있었다. 위도우는 허락할 수 없다 . 자신과 같은 운명의 소녀들이 세상에 또 만들어지는 것을!",9.895,네이버 웹툰
78,호랑이 들어와요,배세혁 / 유은,화,"에피소드, 판타지",숲속의 젊은 부부와 어느 날 그들에게 찾아온 정체불명의 아이들이 만들어가는 즐겁고 신묘한 일상,9.98,네이버 웹툰
79,천마는 평범하게 살 수 없다,"ZAINO, 산천 / 알토란",화,"스토리, 판타지","천마 백중혁, 드미트리 가문의 장남으로 눈을 뜨다. 드미트리의 얼간이, 차남에게 밀린 장남. 세간의 평판은 중요하지 않다. 천마, 아니, 로만 드미트리는 앞으로 평범하게 살 수 없다. 압도하는 천마 판타지!",9.742,네이버 웹툰
80,집이 없어,와난,화,"스토리, 드라마","집을 버리고 뛰쳐나간 고해준, 집 없이 텐트 생활하는 문제아 백은영. 악연으로 만난 두 사람은 버려진 옛날 기숙사에서 함께 살게 되는데.. 기숙사도 서로도 싫지만 돌아갈 곳이 없는 두 사람의 힘든 성장 이야기",9.987,네이버 웹툰
81,오피스 누나 이야기,"팔메이로,김자네 / 와삭바삭",화,"스토리, 로맨스","회사 팀에서 만난 성숙하고 매력적인 연상의 여자 안책임님. 현명하고, 배려심 깊고, 그래서 끌리는 하지만, 아이가 있는 여자.",9.9,네이버 웹툰
82,원주민 공포만화,원주민,화,"스토리, 스릴러",끝까지 방심하지 말 것! 당신의 상상을 뛰어넘는 본격 반전 공포 스릴러가 온다!,9.709,네이버 웹툰
83,몬스터,이은재,화,"스토리, 액션","특수기관 몬스터 에서 아르바이트를 하며 생계를 이어나가고 있는 고등학생 유진. 초능력 보유 코드네임은 요원 미션은 데빌 신속제압! 유진은 의외로 ? 간단한 자신의 임무를 수행하면서 무난하게 고등학생의 생활을 이어가지만, 어느 날 왕따를 당하는 친구를 도와줬다는 이유로 본인도 같이 왕따를 당하게 된다. 평범한 생활에 균열이 생기기 시작하면서 점점 감당하기 힘든 시련이 찾아오게 되고 급기야 지구는 최악의 위기에 처하게 되는데..과연 유진은 이 모든 사건을 해결하고 지구를 구할 수 있을까?",9.464,네이버 웹툰
84,윌유메리미,마인드C,"화, 토","에피소드, 일상","외모는 상남자, 마음은 감성소녀 윌.외모는 청순녀, 마음은 터프가이 메리! 서울 부산 띠동갑 커플의 리얼 연애 일기",9.899,네이버 웹툰
85,삼국지톡,무적핑크 / 이리,"화, 금","에피소드, 시대극","유비, 조조, 손권 등 영웅들이 활약하던 후한, 그 난세에 핸드폰이 있었다면? 메신저로 소통하고, 개인 방송으로 군사를 모집한다! 이제껏 보지 못한 완전히 새로운 삼국지!",9.559,네이버 웹툰
86,아이레,설이 / Team 설이,화,"스토리, 판타지",사라진 여왕의 힘을 찾기 위한 여정. 그들의 위대한 모험이 시작된다.,9.911,네이버 웹툰
87,위아더좀비,이명재,화,"스토리, 드라마","초대형 쇼핑몰 서울타워에 좀비 사태가 발발하고, 정부는 사태 진압을 위해 좀비들을 타워에 두고 봉쇄한다. 김인종은 미처 구조되지 못해 좀비들이 우글거리는 타워 안에 남겨져 1년을 산다. 알고 보니 김인종뿐 아니라 꽤 많은 사람들이 몰래몰래 숨어 살고 있는 듯하다. 인간과 좀비가 공존하는 이 미스터리한 타워 안에서 무슨 일이 일어나고 있을까? 2020 지상최대공모전 대상 수상 작품!",9.971,네이버 웹툰
88,하우스키퍼,채용택 / 유현,화,"스토리, 판타지",. 가 인간에게 반역하는 것은 인간을 위해서이다. . 혁명이 일어난 세계에서 사상 최악의 바이러스가 창궐하고 하스티의 주인 네빌은 좀비화가 된다. 세계연합정부는 환자들의 치료를 포기하고 감염확산을 막기 위해 좀비 학살 정책을 벌인다. 인간이 인간을 포기한 최악의 상황에서도 하스티는 주인인 네빌을 포기할 수 없었다. 좀비가 된 주인을 지키기 위한 . 들의 처절한 사투가 시작된다.,9.914,네이버 웹툰
89,빌런투킬,퓨핀 / 은지,화,"스토리, 판타지","동료를 살해했다는 억울한 누명을 쓰고 사망한 카시안. 모든 게 끝이라고 생각한 순간. 그의 영혼은 어느 소년의 몸에 빙의되어 빌런으로 각성한다. 선망의 대상이자 대중의 지지를 받던 탑클래스 싸이커였던 그가 하루아침에 빌런이 되다니! 그는 자신의 운명을 받아들이기 힘들다. 복수와 분노! 거듭되는 파괴적인 충동으로 이성까지 잠식당할 위기에 처하지만, 신비로운 존재 모로스의 도움과 초인적인 자제력으로 이를 극복해 낸다. 대재앙급이라고?! 어디.. 화끈하게 터트려 볼까!!",9.873,네이버 웹툰
90,이상형은 아닙니다,박윤영 / 은동이,화,"스토리, 로맨스","연애 경험치 만렙 29살 여자와 연애는 커녕 썸 한번 못 타본 모쏠 29년차 남자의 완벽한 이상형 찾기 로맨스! 연애 만렙 차은태앞에 나타난 모쏠남 김진현. 최악의 패션감각에 술은 입에도 못대고 주말엔 집에서 게임하는 게 전부인, 다른 세계에서 뚝떨어진 듯한 이 남자.. 차은태는 절대 이상형일리 없는 이 남자에게 점점 끌리기 시작한다.",9.68,네이버 웹툰
91,견우와 선녀,안수민,화,"스토리, 드라마",죽음이 가까워진 사람들은 거꾸로 걸어들어 온다 그리고 그게 하필 내 이상형이라니!?,9.983,네이버 웹툰
92,"플레이, 플리",이에프,화,"스토리, 로맨스",내 비밀을 유일하게 아는 아이돌이 같은 과 동기? 아이돌로부터 도착한 수상한 디엠! 우리가 같은 과 동기라는 사실을 너는 알까?,9.979,네이버 웹툰
93,용왕님의 셰프가 되었습니다,"문백경,옥 / 카라쿨",화,"스토리, 판타지",인당수에 몸을 던진 심청! 귀차니즘 드래곤의 던전에서 깨어나다? 사연 많은 귀염뽀짝 몬스터와 맛있는 공생라이프!,9.982,네이버 웹툰
94,기계증식증,홍작가,화,"스토리, 판타지","고등학교 골키퍼 유망주였던 영기는 교통사고로 팔을 잃게 되고, 바이오의 임상실험에 참가하여 의수를 이식받는다. 그러던 어느 날, 세상에 기계증식증 이라는 바이러스가 퍼지고 정체를 알 수 없는 존재들이 영기를 쫓기 시작한다. 위기의 순간, 의문의 여성 그를 구해주고 영기는 그녀에게 이 모든 사태의 진실을 알게 되는데...",9.882,네이버 웹툰
95,교환학생,올챙구리,화,"스토리, 드라마",집안 사정으로 대학 진학을 포기한 용철. 우연히 발견한 학생증으로 얼떨결에 한국대 신입생으로 위장했다! 친구들도 사귀고 마음에 드는 선배도 만나 캠퍼스 라이프를 맛보는가 싶더니 웬걸? 자퇴한 줄 알았던 학생증의 진짜 주인이 나타났다...?! 아슬아슬 짜릿한 가짜학생 사기극이 시작된다!,9.74,네이버 웹툰
96,아이즈,정썸머,화,"스토리, 액션","한 쪽 눈이 없는 고등학생 서주안 은 매일 학교에서 섬뜩한 시선을 느낀다. 두려움에 떨면서도 시선의 정체를 궁금해하던 중, 조류인간 의 존재를 알게되어 혼란에 빠지고... 서늘한 긴장감이 감도는 가운데, 조류인간들의 전쟁이 시작된다!",9.962,네이버 웹툰
97,3cm 헌터,돌연변이,화,"스토리, 판타지","세상 사람들의 몸이 3 로 줄어들었다. 이제는 고양이, 개미, 청소기 등 일상의 모든 것이 위협인 상황. 믿을 것은 각자에게 주어진 이능력 하나뿐이다.",9.408,네이버 웹툰
98,제로게임,즐바센,화,"스토리, 판타지",죽음을 선택한 사람들의 인생 재건설 서바이벌! 2015 대학만화 최강자전 수상작,9.965,네이버 웹툰
99,정년이,서이레 / 나몬,화,"스토리, 드라마","가진 것 없고 배운 것 없지만, 소리 하나만큼은 타고난 목포 소녀 정년! 정년의 꿈은 여성 국극단에 들어가 부자가 되는 것인데 배워야 할 것은 많고, 주연 배우 자리는 멀기만 하다. 과연 정년은 대 스타가, 부자가 될 수 있을까?",9.98,네이버 웹툰
100,성인초딩,미티,화,"스토리, 드라마",32살 내 몸에 9살 나의 영혼이 들어왔다! 대신 32살의 나는 게임기 안에 갇혀버렸네?!,9.907,네이버 웹툰
101,빅맨,하하영,화,"스토리, 스포츠",키가 크다는 건 엄청난 축복이라고? 208 인 나한테는 그저 저주일 뿐이다! 빅맨 나은덕의 청춘 성장 학원물!!,9.808,네이버 웹툰
102,올가미,해무리,화,"스토리, 드라마","일주일에 단 한 번, 내가 지시하는 곳으로 데려오기만 하면 돼요. 정체불명의 힘을 지닌 윤수와 그의 올가미에 단단히 옭아매어진 채아. 과연 그녀는 그의 덫에서 빠져나올 수 있을까.",9.984,네이버 웹툰
103,은주의 방 2~3부,노란구미,화,"스토리, 드라마","인테리어에서 연애까지, 은주의 라이프 체인지 스토리",9.947,네이버 웹툰
104,악인,광탄토 / 마두르,화,"스토리, 스릴러","타인의 생각을 눈으로 볼 수 있는 주인공 봉강. 자신의 능력을 이용해서 소소한 일상을 보내던 중, 과내 최고 인기남 조훈 선배의 속마음을 보게 된다. 하지만 그가 마주한 진실은... 온갖 살의 로 가득찬 살인자 훈의 또 다른 모습이었다.",9.638,네이버 웹툰
105,나타나주세요!,김기현,화,"스토리, 로맨스","평소보다 특별했던 어느 날, 평범한 대학생 김지용의 꿈속에 정지혜가 나타나기 시작했다. 정지혜에게 첫눈에 반한 김지용은 그녀를 찾아다니기 위해 노력하지만 알고 보니 그녀는.. 2년 전에 자살한 사람이었다?! 그녀를 살리기 위해 고군분투하는 김지용의 달콤살벌 로맨스. 나타나주세요, 내 눈앞에!",9.974,네이버 웹툰
106,연우의 순정,이솔,화,"스토리, 감성",여학생으로 오해받을 정도로 여리여리한 외모를 가진 연우. 그는 교내 인기스타인 강해솔을 몰래 좋아하고 있다. 하지만 낯을 굉장히 많이 가리고 소심한 연우는 같은 반인 해솔이에게 말 한 번 붙여본 적 없는데,9.985,네이버 웹툰
107,다꾸남,코츠,화,"스토리, 로맨스","다부진 체격에 무뚝뚝한 체대생 강연우. 그에게는 비밀이 있었는데, 그건 바로 예쁘고 귀여운 것을 좋아한다는 것이다. 그런 그의 취미는 바로 다이어리 꾸미기 다꾸 ! 상에서 딸기요정 으로 유명한 그는 문구 축제에 좋아하는 작가님의 신작 스티커가 나온다는 얘기를 듣고 직접 가게 된다. 그리고 곧 강연우는 작가님에게 딸기요정이라는 사실을 들키고 마는데...",9.59,네이버 웹툰
108,나는 어디에나 있다,김선권,화,"스토리, 스릴러",수많은 사람들이 죽었던 여러 대형사고 현장에 동일 인물이 계속 발견된다. 그게... 기억에 없는 나라면? 그 영상을 보는 순간 평범했던 청년 류준의 일상은 완전히 뒤바뀐다. 과연 류준은 사라진 기억의 비밀을 풀고 평범한 일상을 되찾을 수 있을까...,9.907,네이버 웹툰
109,열녀박씨 계약결혼뎐,"김너울, 안젤리크 / 닷다",화,"스토리, 로맨스","혼례 첫날밤, 갑작스럽게 서방을 잃은 열녀 박연우. 엎친 데 덮친 격으로 괴한에게 납치당해 우물에 던져졌지만, 눈을 뜬 곳은 21세기 대한민국 ?! 설상가상 연우를 구해준 서방님 판박이는 가짜 혼인을 하자고 한다! 당찬 열녀 박씨 연우와 독신주의자 강태하의 동상이몽 계약 결혼.",9.948,네이버 웹툰
110,숲속의 담,다홍,화,"스토리, 감성",어느 순간부터 성장이 멈춘 담 은 사람들을 피해 숲속으로 떠난다.,9.989,네이버 웹툰
111,나의 플랏메이트,산삼,화,"스토리, 드라마",해리포터 덕질만이 인생의 큰 기쁨인 피폐한 공시생 건이에게 찾아온 엄청난 행운! 럭셔리 퍼스트클래스를 타고 떠난 런던에서 마음껏 덕질해보려고 했는데... 그녀에게 찾아온 힘든 시련과 멋지고 잘생긴 룸메이트들? 과연 건이는 시련극복과 런던생활을 잘할수 있을것인가!,9.969,네이버 웹툰
112,오파츠,성진 / 부겸,화,"스토리, 판타지","이 세상에 존재할 수 없는 물건인 오파츠 를 소유한 이들. 그들이 살아가는 세상인 경계의 밖 , 그곳에서 일어난 수많은 특별한 이야기.",9.741,네이버 웹툰
113,태시트,김다찌,화,"스토리, 액션",좀비 바이러스를 내뿜는 오염물질로 무너진 세상. 그곳에 적응한 사람들. 높은 자원과 뛰어난 박사 사이먼 을 겸했던 마을 아미나 . 하지만 사이먼 이 실종되고 아미나 사람들은 절망에 빠진다. 그런 아미나 에서 태어나고 자란 루비 . 그녀로 인해 묻혀있던 사건들이 서서히 모습을 드러내기 시작하는데...,9.962,네이버 웹툰
114,조선홍보대행사 조대박,김양수,화,"스토리, 개그",냉혈한 광고홍보의 귀재 조선 시장에서도 성공할 수 있을까?,9.915,네이버 웹툰
115,그녀석 정복기,강은영,화,"스토리, 로맨스","모든 걸 공유하는 소꿉친구, 신나와 라운. 어느 날 신나는 라운이의 이중적인 모습을 발견하게 되는데, 순둥이 같던 라운이가 사이코로 돌변한 것! 신나에게만 가면이 벗겨진 라운과, 비밀을 공유하게 된 신나. 만만하기만 했던 라운이 이제는 낯선 남자가 되어 다가온다.",9.959,네이버 웹툰
116,안식의 밤,연제원,화,"스토리, 스릴러",노인들을 대상으로 한 연쇄 살인 사건의 전말 나는 할머니를 죽이지 않았어요!!,9.951,네이버 웹툰
117,대신 심부름을 해다오,고아라,화,"스토리, 드라마","요괴도 있고 사랑도 있고 비밀도 있는 마을, 의양리. 이곳에서 나고 자란 은호는 스무살이 되었고 산 속에서 20년 동안 잠들어있던 도깨비가 깨어났다. 은호의 소중한 친구를 지키기 위해서는 할 일이 있다는데...? 가까워지는 인연들에 대한 따뜻한 감성 판타지!",9.983,네이버 웹툰
118,자판귀,윤정민,화,"에피소드, 스릴러","자판기에서 내가 원하는 것이 나온다!? 데뷔를 꿈꾸는 연습생 박도영. 대표의 비리로 데뷔가 무산되자, 만취한 상태로 골목길을 헤매다 수상한 자판기를 보게 되는데...",9.899,네이버 웹툰
119,연애는 전쟁!,윤솜 / 와리,화,"스토리, 로맨스","우리, 내기 하나 할까? 서태현한테 먼저 고백받는 쪽이 이기는 걸로. 용모 단정, 성적 우수, 교내에서도 유명한 남녀 쌍둥이 시연 과 시언 완벽한 두 사람이 평범한 남고생 태현 의 마음을 두고 내기를 시작하게 된 이유는? 그리고 이들을 거부하는 태현 의 숨겨진 비밀은 ?! 조금은 특별한 서스펜스 로맨스!",9.878,네이버 웹툰
120,급식러너,슬랭킷,화,"스토리, 판타지",게임이 현실이 되어버린 세상. 학생들은 점심시간마다 급식실로 질주하는 러닝액션 게임 급식러너 에 열광해있다. 하지만 게임셔틀인 민호에겐 매일의 점심시간이 지옥인데... 그때 민호 앞에 나타난 급식러너의 서버운영자 새나의 제안! 퀘스트를 클리어하면 게임셔틀에서 해방시켜줄게. 자유를 위한 민호의 치열한 질주가 시작된다!!! 2020 지상최대공모전 대상 수상 작품!,9.855,네이버 웹툰
121,언메이크,박화랑,화,"스토리, 판타지","멀지 않은 미래, 미세먼지 폭풍으로 인류는 맑은 공기를 잃었다. 목에 이식하는 기생 필터의 개발로 위기를 극복했다고 생각했지만, 기생 필터가 변이를 일으키며 세상은 다시 한번 위기에 빠지는데...",9.808,네이버 웹툰
122,완벽한 가족,냥빠 / 주은,화,"스토리, 스릴러","누가 봐도 행복하고 완벽한 선희네 가족. 어느 날, 선희는 친구 경호를 죽였다는 고백을 하지만 엄마의 반응이 뭔가 이상하다.",9.908,네이버 웹툰
123,지원이들,구리,화,"스토리, 일상","평범한 고등학생 정지원은 자신과는 조금씩 다른 지원이들 을 만난다. 천사 같은 유지원과 웃긴 김지원, 완벽한 친구들을 사귀었다고 생각했는데... 왜 자꾸 비교하게 되고 질투가 나는 걸까? 그 시절 누구나 품었을 미운 마음을 담은 일상개그드라마!",9.895,네이버 웹툰
124,고등매직,잭형,화,"에피소드, 개그","평범한 고등학생인 마삼룡 의 집에 갑자기 삼촌이 찾아온다. 삼룡의 가족과 함께 지내게 된 삼촌은 어느날 엄청난 비밀을 폭로하게 되는데, 그것은 바로 삼룡의 가족이 마법사 집안이었다는 것! 마법과 함께 펼쳐지는 삼룡과 삼촌의 코믹 에피소드!",9.813,네이버 웹툰
125,프린스 메이커,수오수,화,"스토리, 드라마",공주님을 구하러 온 왕자님이 마녀의 저주로 5살 아이가 돼버렸다! 예정 없던 공주님의 육아가 시작되는데...... 10년 동안 마녀의 탑에 갇혀 자신을 구해줄 왕자님만 기다리던 공주님에게 어느 날 진짜 왕자님이 찾아왔다! 행복한 미래를 그리며 함께 성 밖을 나서는 순간 마녀의 저주로 왕자님은 5살 아이가 되어버리고...! 왕자님을 최고의 남편감으로 키우기 위한 공주님의 왕자 육성 프로젝트가 시작된다!,9.933,네이버 웹툰
126,풋내기들,신여름,화,"스토리, 로맨스","스무 살의 봄, 새봄은 두근거리는 마음으로 대학교 인근의 셰어하우스에 입성한다. 그곳에서 외모와 성격이 전혀 다른 룸메이트 희주 그리고 최애 라욱과 똑같이 생긴 이상형까지 만난다. 풋풋하지만 많은 것이 서툴렀던 스무 살, 우리들의 이야기! 첫사랑의 설렘을 가득 담은 셰어하우스로 놀러 오실래요?",9.965,네이버 웹툰
127,NG불가,고선영,화,"스토리, 로맨스","드라마 덕후 류재린 , 드라마 각본 속의 세상으로 들어오게 되다! 그것도 최애캐를 연기한 배우, 이안 과 함께. 여기서 살아남으려면 여주 역할을 해내며 최애캐와 사랑을 연기해야만 한다는데..?! 인기 배우와 찐팬 덕후의 생존 로맨스",9.949,네이버 웹툰
128,하나in세인,석한,화,"스토리, 스릴러","교내 소문난 또라이 세인 에게 단 하나뿐인 절친 하나 . 세인은 둘의 관계가 영원하길 바랐지만, 왜 인지 하나는 점차 멀어져 간다. 그 무렵 나타난 전학생 진사배 . 천재 아티스트인 사배는 전학 첫날부터 하나를 멋지게 그려내, 하나의 관심을 독차지한다. 질투를 느낀 세인은 사배의 스케치북을 찢으려다 충격적인 그림을 발견하게 되는데..",9.913,네이버 웹툰
129,피로만땅,샤니,화,"에피소드, 개그","203호 저승사자 샤니 작가 신작. 취준생 유림은 밤 9시에 면접을 보러오라는 연락을 받고 찾아갔다가 우여곡절 끝에 합격한다. 그녀가 맡은 일은 보디가드. 하지만 그녀가 지켜야 하는 건 언제 자신을 흡혈할지 모르는 위험한 뱀파이어?! 뱀파이어 헌터들에게서 뱀파이어를 보호하면서 벌어지는, 누가 누구를 지키는지 모를 아찔한 개그 웹툰. 과연 유림은 뱀파이어를 지켜낼 수 있을까!",9.933,네이버 웹툰
130,찐:종합게임동아리,소장,화,"스토리, 드라마",트라우마로 인해 일부러 게임을 피하며 살아온 김 진 . 진이는 신입생 환영회에서 만난 정진아 의 제안으로 우연히 동아리에 들어가게 되는데... 알고 보니 동아리의 정체는 전력을 다해 게임을 즐기는 종합게임동아리였다! 게임에 항상 진심인 승부욕 강한 여섯 청춘들의 즐거운 동아리 활동!!,9.772,네이버 웹툰
131,인문학적 감수성,교날 / 번암,화,"스토리, 드라마","타투이스트 감수성에게는 남들과 다른 비밀이 하나 있다. 바로 살아움직이는 그림을 그린다는 것! 이런 이상한 능력 덕분에 깡패처럼 보이는 ? 손님에게 새겨주었던 용 문신이 탈주를 하게 되고, 극대노한 상태로 찾아온 그녀와 모종의 사건으로 엮이면서 거절하지 못할 제안을 받는데...",9.924,네이버 웹툰
132,헬퍼 2 : 킬베로스,삭,수,"스토리, 액션",역시는 역시 역시군. 킬베로스 트라이브의 대장 장광남이 펼치는 스트릿 액션 만화.,6.843,네이버 웹툰
133,전지적 독자 시점,"싱숑,UMI / 슬리피-C",수,"스토리, 판타지","이건 내가 아는 그 전개다 한순간에 세계가 멸망하고, 새로운 세상이 펼쳐졌다. 오직 나만이 완주했던 소설 세계에서 평범했던 독자의 새로운 삶이 시작된다.",9.977,네이버 웹툰
134,조조코믹스,이동건,"수, 토","옴니버스, 로맨스","유미의 세포들 이동건 작가의 로맨스 시트콤 신작! 오늘 할 일을 내일로 미루는 평범한 직장인 은조, 그녀와는 다르게 외모와 매너 모든 것을 철저히 관리하는 직장동료 조완. 케미 좋은 두 사람의 다양하고 유쾌한 단편들이 여러분들을 기다리고 있습니다. 매주 수토! 조조코믹스 에서 단편만화 같은 일상을 즐겨보세요!",9.944,네이버 웹툰
135,모죠의 일지,모죠,"수, 토","에피소드, 개그",소신있는 취향과 내성적인 성향. 훌륭한 집순이 모죠의 은밀한 비밀들,9.98,네이버 웹툰
136,캐슬,정연,수,"스토리, 드라마","복수를 위해 칼을 갈아온 특급 킬러 김신 , 뒷세계 절대권력 과의 목숨 건 한판 승부!",9.973,네이버 웹툰
137,튜토리얼 탑의 고인물,방구석김씨 / 루비,수,"스토리, 액션",저주로 인해 튜토리얼 탑에 갇힌 헌터. 레벨업을 하며 넘사벽 능력을 갖게 된 그가 12년 만에 탑 밖의 세상에 나간다!,9.854,네이버 웹툰
138,화산귀환,비가 / LICO,수,"스토리, 시대극",대 화산파 13대 제자.천하삼대검수 매화검존 청명. 천하를 혼란에 빠뜨린 고금제일마 천마의 목을 치고 십만대산의 정상에서 영면. 백 년의 시간을 뛰어넘어 아이의 몸으로 다시 살아나다. ......뭐? 화산이 망해? 이게 뭔 개소리야!?,9.973,네이버 웹툰
139,급식아빠,김재한,수,"스토리, 액션",부활남 김재한 작가의 신작! 딸바보 웹툰작가의 갑작스러운 죽음. 학원액션 만화를 그리던 능력 ? 을 살려 일진 서클 12간지로부터 딸 다연이를 지켜라! 딸이 괴롭힘당하는 모습을 보게 된다면? ...이건 못 참지. 내 딸 건드는 새끼들 다 조져버림.,9.921,네이버 웹툰
140,여주실격!,기맹기,수,"스토리, 드라마",약 한 여배우 천리사 더이상 배우같은건 하고 싶지 않다던 그녀의 복귀 스토리!,9.978,네이버 웹툰
141,남주의 첫날밤을 가져버렸다,"황도톨,티바 / MSG",수,"스토리, 로맨스",소설 속 엑스트라인 백작 영애 리플리로 빙의 된 여주인공. 이왕 이렇게 된 거 전생에 경험하지 못한 귀족의 화려하고 풍족한 삶을 만끽하기로 한다. 파티장 구석에서 혼자 술을 즐긴 것까진 기억나는데 다음날 깨어보니 남주의 침대에 누워있는 것 아닌가!,9.975,네이버 웹툰
142,무서운게 딱좋아!,이동규,"수, 일","옴니버스, 스릴러",90년대 생이면 누구나 아는 추억의 공포 만화 무서운게 딱좋아! . 당시의 독자들이 선정한 베스트 베스트 에피소드 5개가 2021년 웹툰으로 돌아왔다!,9.96,네이버 웹툰
143,노곤하개,홍끼,"수, 토","에피소드, 일상",귀여운 멍멍이들과 함께하는 노곤하지 않은 일상 이야기,9.978,네이버 웹툰
144,세상은 돈과 권력,한동우 / 이도희,수,"에피소드, 드라마","재벌 3세가 일반 고등학교에 들어오면서, 선생들과 학생들은 거대 자본에 굴복해 권력을 차지하기 위한 두뇌싸움 이 난무하는 학교로 바뀐다. 이 학교의 법칙을 부수기 위해 천재 단건우 가 전학온다.",9.923,네이버 웹툰
145,66666년 만에 환생한 흑마법사,"타루, 화봉 / 파사",수,"스토리, 판타지","강대했던 흑마법사 디아블로 볼피르. 12신의 계략에 당해 억겁 속에 봉인되었지만, 그로부터 66666년이 흘러 다시금 이 땅에 강림한다! 응애! 웰턴 백작의 갓 태어난 장남으로. 딥다크 매직 판타지 시작!",9.894,네이버 웹툰
146,일렉시드,손제호 / 제나,수,"스토리, 액션",노블레스 손제호 작가와 소녀더와일즈 제나 작가가 만났다! 고양이 몸에 깃든 각성자 카이든과 각성능력을 숨겨온 고등학생 지우 러블리 2인조의 액션 판타지,9.912,네이버 웹툰
147,블랙홀과 3만원,김규삼 / 혜원,수,"스토리, 개그","지구멸망 한달 전, 블랙홀에 빨려들어가 얄짤없이 망하게 생긴 인류. 노스트라 생명에서 인류를 구원할 보험을 출시했다! 블랙홀로 인한 모든 피해를 단돈 3만원에 ?! 노스트라의 마지막 히트상품과 함께 나타난 이놈들, 과연 구세주인가 바보들인가.",9.919,네이버 웹툰
148,연놈,상하,수,"스토리, 드라마","중2 여름, 가지 말라는 말도 좋아했다는 말도 하지 못한 채 보낸 그녀가 3년 만에 나타났다. 지나버린 시간과 마주한 소년 그리고 소녀의 이야기",9.85,네이버 웹툰
149,닥터앤닥터 육아일기,닥터베르,"수, 일","에피소드, 일상","산부인과 의사 엄마의 임신과 출산, 공학박사 아빠의 논문 기반 육아. 완벽할 것만 같은 이들의 앞길은 과연 순탄할까? 탄탄대로를 달리던 두 사람의 좌충우돌, 우여곡절 중구난방 육아 이야기! 웃다 울고, 울다가 웃게 되는 최고의 항문용 발모제툰!",9.971,네이버 웹툰
150,나쁜사람,둠스,수,"에피소드, 개그",착한 남자가 좋다는 그녀의 이상형이 되기 위해 10년 동안 노력했다. 그런데! 갑자기 나쁜 남자가 좋다는 그녀... 오늘부터 난... 나쁜 남자로 다시 태어난다.,9.759,네이버 웹툰
151,고삼무쌍,B급달궁 / 하마,수,"스토리, 액션",천년간 사라진 무림이 현대 고등학교를 배경으로 되살아난다! 무림인들의 고교습격! 장르파괴 무협학원액션,9.744,네이버 웹툰
152,마른 가지에 바람처럼,달새울 / 화음,수,"스토리, 로맨스","남편을 잃고, 아이를 빼앗기고, 이제 생매장을 눈 앞에 둔 과부 리에타. 그 곳에 미친 폐황자 로 불리는 저주받은 땅, 악시아스 성의 대공. 킬리언이 나타났다. 그녀를 데려가겠다고 말하는 킬리언이 인사를 건넨다. 안녕, 요부",9.99,네이버 웹툰
153,엔딩 후 서브남을 주웠다,"황도톨,정서 / 정서",수,"스토리, 로맨스","빙의한 소설 속 나의 최애캐는 서브남이었다. 여주에게 버림받아 흑화한 츤데레는 어마무시한 까칠남이 되어 있었다는 것! 나, 무사히 서브남을 주울 수 있을까?",9.982,네이버 웹툰
154,빌드업,911,수,"스토리, 스포츠",축구덕후지만 볼보이만 5년째?! 빵셔틀 강마루의 열혈청춘 축구드라마,9.944,네이버 웹툰
